Anatomy::UBERON:0000002	Uterine Cervix	Anatomy
Anatomy::UBERON:0000004	Nose	Anatomy
Anatomy::UBERON:0000006	Islet Of Langerhans	Anatomy
Anatomy::UBERON:0000007	Pituitary Gland	Anatomy
Anatomy::UBERON:0000010	Peripheral Nervous System	Anatomy
Anatomy::UBERON:0000011	Parasympathetic Nervous System	Anatomy
Anatomy::UBERON:0000013	Sympathetic Nervous System	Anatomy
Anatomy::UBERON:0000020	Sense Organ	Anatomy
Anatomy::UBERON:0000026	Appendage	Anatomy
Anatomy::UBERON:0000029	Lymph Node	Anatomy
Anatomy::UBERON:0000033	Head	Anatomy
Anatomy::UBERON:0000038	Follicular Fluid	Anatomy
Anatomy::UBERON:0000042	Serous Membrane	Anatomy
Anatomy::UBERON:0000043	Tendon	Anatomy
Anatomy::UBERON:0000045	Ganglion	Anatomy
Anatomy::UBERON:0000053	Macula Lutea	Anatomy
Anatomy::UBERON:0000054	Macula	Anatomy
Anatomy::UBERON:0000056	Ureter	Anatomy
Anatomy::UBERON:0000057	Urethra	Anatomy
Anatomy::UBERON:0000165	Mouth	Anatomy
Anatomy::UBERON:0000178	Blood	Anatomy
Anatomy::UBERON:0000211	Ligament	Anatomy
Anatomy::UBERON:0000473	Testis	Anatomy
Anatomy::UBERON:0000474	Female Reproductive System	Anatomy
Anatomy::UBERON:0000482	Basal Lamina Of Epithelium	Anatomy
Anatomy::UBERON:0000483	Epithelium	Anatomy
Anatomy::UBERON:0000922	Embryo	Anatomy
Anatomy::UBERON:0000941	Cranial Nerve Ii	Anatomy
Anatomy::UBERON:0000946	Cardial Valve	Anatomy
Anatomy::UBERON:0000948	Heart	Anatomy
Anatomy::UBERON:0000949	Endocrine System	Anatomy
Anatomy::UBERON:0000955	Brain	Anatomy
Anatomy::UBERON:0000959	Optic Chiasma	Anatomy
Anatomy::UBERON:0000964	Cornea	Anatomy
Anatomy::UBERON:0000966	Retina	Anatomy
Anatomy::UBERON:0000970	Eye	Anatomy
Anatomy::UBERON:0000974	Neck	Anatomy
Anatomy::UBERON:0000975	Sternum	Anatomy
Anatomy::UBERON:0000977	Pleura	Anatomy
Anatomy::UBERON:0000978	Leg	Anatomy
Anatomy::UBERON:0000982	Skeletal Joint	Anatomy
Anatomy::UBERON:0000985	Axillary Vein	Anatomy
Anatomy::UBERON:0000988	Pons	Anatomy
Anatomy::UBERON:0000989	Penis	Anatomy
Anatomy::UBERON:0000991	Gonad	Anatomy
Anatomy::UBERON:0000992	Female Gonad	Anatomy
Anatomy::UBERON:0000993	Oviduct	Anatomy
Anatomy::UBERON:0000995	Uterus	Anatomy
Anatomy::UBERON:0000996	Vagina	Anatomy
Anatomy::UBERON:0000997	Mammalian Vulva	Anatomy
Anatomy::UBERON:0000998	Seminal Vesicle	Anatomy
Anatomy::UBERON:0000999	Ejaculatory Duct	Anatomy
Anatomy::UBERON:0001000	Vas Deferens	Anatomy
Anatomy::UBERON:0001003	Skin Epidermis	Anatomy
Anatomy::UBERON:0001004	Respiratory System	Anatomy
Anatomy::UBERON:0001007	Digestive System	Anatomy
Anatomy::UBERON:0001008	Renal System	Anatomy
Anatomy::UBERON:0001011	Hemolymph	Anatomy
Anatomy::UBERON:0001013	Adipose Tissue	Anatomy
Anatomy::UBERON:0001016	Nervous System	Anatomy
Anatomy::UBERON:0001017	Central Nervous System	Anatomy
Anatomy::UBERON:0001021	Nerve	Anatomy
Anatomy::UBERON:0001031	Sheath Of Schwann	Anatomy
Anatomy::UBERON:0001037	Strand Of Hair	Anatomy
Anatomy::UBERON:0001044	Saliva-secreting Gland	Anatomy
Anatomy::UBERON:0001064	Ventral Pancreatic Duct	Anatomy
Anatomy::UBERON:0001067	Vertebral Arch Joint	Anatomy
Anatomy::UBERON:0001070	External Carotid Artery	Anatomy
Anatomy::UBERON:0001072	Posterior Vena Cava	Anatomy
Anatomy::UBERON:0001088	Urine	Anatomy
Anatomy::UBERON:0001089	Sweat	Anatomy
Anatomy::UBERON:0001090	Synovial Fluid	Anatomy
Anatomy::UBERON:0001093	Vertebral Bone 2	Anatomy
Anatomy::UBERON:0001103	Diaphragm	Anatomy
Anatomy::UBERON:0001105	Clavicle Bone	Anatomy
Anatomy::UBERON:0001111	Intercostal Muscle	Anatomy
Anatomy::UBERON:0001130	Vertebral Column	Anatomy
Anatomy::UBERON:0001132	Parathyroid Gland	Anatomy
Anatomy::UBERON:0001135	Smooth Muscle Tissue	Anatomy
Anatomy::UBERON:0001140	Renal Vein	Anatomy
Anatomy::UBERON:0001143	Hepatic Vein	Anatomy
Anatomy::UBERON:0001148	Median Nerve	Anatomy
Anatomy::UBERON:0001174	Common Bile Duct	Anatomy
Anatomy::UBERON:0001175	Common Hepatic Duct	Anatomy
Anatomy::UBERON:0001182	Superior Mesenteric Artery	Anatomy
Anatomy::UBERON:0001183	Inferior Mesenteric Artery	Anatomy
Anatomy::UBERON:0001184	Renal Artery	Anatomy
Anatomy::UBERON:0001193	Hepatic Artery	Anatomy
Anatomy::UBERON:0001194	Splenic Artery	Anatomy
Anatomy::UBERON:0001224	Renal Pelvis	Anatomy
Anatomy::UBERON:0001225	Cortex Of Kidney	Anatomy
Anatomy::UBERON:0001228	Renal Papilla	Anatomy
Anatomy::UBERON:0001231	Nephron Tubule	Anatomy
Anatomy::UBERON:0001232	Collecting Duct Of Renal Tubule	Anatomy
Anatomy::UBERON:0001235	Adrenal Cortex	Anatomy
Anatomy::UBERON:0001236	Adrenal Medulla	Anatomy
Anatomy::UBERON:0001237	Paraaortic Body	Anatomy
Anatomy::UBERON:0001264	Pancreas	Anatomy
Anatomy::UBERON:0001267	Femoral Nerve	Anatomy
Anatomy::UBERON:0001283	Bile Canaliculus	Anatomy
Anatomy::UBERON:0001285	Nephron	Anatomy
Anatomy::UBERON:0001288	Loop Of Henle	Anatomy
Anatomy::UBERON:0001295	Endometrium	Anatomy
Anatomy::UBERON:0001296	Myometrium	Anatomy
Anatomy::UBERON:0001300	Scrotum	Anatomy
Anatomy::UBERON:0001305	Ovarian Follicle	Anatomy
Anatomy::UBERON:0001310	Umbilical Artery	Anatomy
Anatomy::UBERON:0001322	Sciatic Nerve	Anatomy
Anatomy::UBERON:0001323	Tibial Nerve	Anatomy
Anatomy::UBERON:0001324	Common Fibular Nerve	Anatomy
Anatomy::UBERON:0001343	Seminiferous Tubule Of Testis	Anatomy
Anatomy::UBERON:0001348	Brown Adipose Tissue	Anatomy
Anatomy::UBERON:0001352	External Acoustic Meatus	Anatomy
Anatomy::UBERON:0001361	Femoral Vein	Anatomy
Anatomy::UBERON:0001365	Sacro-iliac Joint	Anatomy
Anatomy::UBERON:0001394	Axillary Artery	Anatomy
Anatomy::UBERON:0001398	Brachial Artery	Anatomy
Anatomy::UBERON:0001404	Radial Artery	Anatomy
Anatomy::UBERON:0001406	Ulnar Artery	Anatomy
Anatomy::UBERON:0001437	Epiphysis	Anatomy
Anatomy::UBERON:0001456	Face	Anatomy
Anatomy::UBERON:0001460	Arm	Anatomy
Anatomy::UBERON:0001461	Elbow	Anatomy
Anatomy::UBERON:0001463	Manual Digit 1	Anatomy
Anatomy::UBERON:0001464	Hip	Anatomy
Anatomy::UBERON:0001465	Knee	Anatomy
Anatomy::UBERON:0001467	Shoulder	Anatomy
Anatomy::UBERON:0001469	Sternoclavicular Joint	Anatomy
Anatomy::UBERON:0001470	Glenohumeral Joint	Anatomy
Anatomy::UBERON:0001479	Sesamoid Bone	Anatomy
Anatomy::UBERON:0001484	Articular Capsule	Anatomy
Anatomy::UBERON:0001485	Knee Joint	Anatomy
Anatomy::UBERON:0001486	Hip Joint	Anatomy
Anatomy::UBERON:0001488	Ankle Joint	Anatomy
Anatomy::UBERON:0001490	Elbow Joint	Anatomy
Anatomy::UBERON:0001492	Radial Nerve	Anatomy
Anatomy::UBERON:0001494	Ulnar Nerve	Anatomy
Anatomy::UBERON:0001515	Thoracic Aorta	Anatomy
Anatomy::UBERON:0001516	Abdominal Aorta	Anatomy
Anatomy::UBERON:0001529	Brachiocephalic Artery	Anatomy
Anatomy::UBERON:0001530	Common Carotid Artery Plus Branches	Anatomy
Anatomy::UBERON:0001532	Internal Carotid Artery	Anatomy
Anatomy::UBERON:0001533	Subclavian Artery	Anatomy
Anatomy::UBERON:0001535	Vertebral Artery	Anatomy
Anatomy::UBERON:0001544	Popliteal Vein	Anatomy
Anatomy::UBERON:0001567	Cheek	Anatomy
Anatomy::UBERON:0001577	Facial Muscle	Anatomy
Anatomy::UBERON:0001579	Olfactory Nerve	Anatomy
Anatomy::UBERON:0001585	Anterior Vena Cava	Anatomy
Anatomy::UBERON:0001587	Subclavian Vein	Anatomy
Anatomy::UBERON:0001594	Azygos Vein	Anatomy
Anatomy::UBERON:0001597	Masseter Muscle	Anatomy
Anatomy::UBERON:0001598	Temporalis Muscle	Anatomy
Anatomy::UBERON:0001599	Stapedius Muscle	Anatomy
Anatomy::UBERON:0001600	Tensor Tympani	Anatomy
Anatomy::UBERON:0001616	Maxillary Artery	Anatomy
Anatomy::UBERON:0001619	Ophthalmic Artery	Anatomy
Anatomy::UBERON:0001620	Central Retinal Artery	Anatomy
Anatomy::UBERON:0001624	Anterior Cerebral Artery	Anatomy
Anatomy::UBERON:0001627	Middle Cerebral Artery	Anatomy
Anatomy::UBERON:0001633	Basilar Artery	Anatomy
Anatomy::UBERON:0001636	Posterior Cerebral Artery	Anatomy
Anatomy::UBERON:0001637	Artery	Anatomy
Anatomy::UBERON:0001638	Vein	Anatomy
Anatomy::UBERON:0001640	Celiac Artery	Anatomy
Anatomy::UBERON:0001643	Oculomotor Nerve	Anatomy
Anatomy::UBERON:0001644	Trochlear Nerve	Anatomy
Anatomy::UBERON:0001645	Trigeminal Nerve	Anatomy
Anatomy::UBERON:0001646	Abducens Nerve	Anatomy
Anatomy::UBERON:0001647	Facial Nerve	Anatomy
Anatomy::UBERON:0001648	Vestibulocochlear Nerve	Anatomy
Anatomy::UBERON:0001649	Glossopharyngeal Nerve	Anatomy
Anatomy::UBERON:0001650	Hypoglossal Nerve	Anatomy
Anatomy::UBERON:0001673	Central Retinal Vein	Anatomy
Anatomy::UBERON:0001675	Trigeminal Ganglion	Anatomy
Anatomy::UBERON:0001676	Occipital Bone	Anatomy
Anatomy::UBERON:0001677	Sphenoid Bone	Anatomy
Anatomy::UBERON:0001678	Temporal Bone	Anatomy
Anatomy::UBERON:0001679	Ethmoid Bone	Anatomy
Anatomy::UBERON:0001681	Nasal Bone	Anatomy
Anatomy::UBERON:0001684	Mandible	Anatomy
Anatomy::UBERON:0001685	Hyoid Bone	Anatomy
Anatomy::UBERON:0001687	Stapes Bone	Anatomy
Anatomy::UBERON:0001688	Incus Bone	Anatomy
Anatomy::UBERON:0001689	Malleus Bone	Anatomy
Anatomy::UBERON:0001690	Ear	Anatomy
Anatomy::UBERON:0001691	External Ear	Anatomy
Anatomy::UBERON:0001694	Petrous Part Of Temporal Bone	Anatomy
Anatomy::UBERON:0001697	Orbit Of Skull	Anatomy
Anatomy::UBERON:0001700	Geniculate Ganglion	Anatomy
Anatomy::UBERON:0001702	Eyelash	Anatomy
Anatomy::UBERON:0001705	Nail	Anatomy
Anatomy::UBERON:0001707	Nasal Cavity	Anatomy
Anatomy::UBERON:0001708	Jaw Skeleton	Anatomy
Anatomy::UBERON:0001710	Lower Jaw Region	Anatomy
Anatomy::UBERON:0001711	Eyelid	Anatomy
Anatomy::UBERON:0001716	Secondary Palate	Anatomy
Anatomy::UBERON:0001717	Spinal Nucleus Of Trigeminal Nerve	Anatomy
Anatomy::UBERON:0001720	Cochlear Nucleus	Anatomy
Anatomy::UBERON:0001723	Tongue	Anatomy
Anatomy::UBERON:0001724	Sphenoidal Sinus	Anatomy
Anatomy::UBERON:0001733	Soft Palate	Anatomy
Anatomy::UBERON:0001734	Palatine Uvula	Anatomy
Anatomy::UBERON:0001736	Submandibular Gland	Anatomy
Anatomy::UBERON:0001737	Larynx	Anatomy
Anatomy::UBERON:0001744	Lymphoid Tissue	Anatomy
Anatomy::UBERON:0001750	Lacrimal Apparatus	Anatomy
Anatomy::UBERON:0001756	Middle Ear	Anatomy
Anatomy::UBERON:0001759	Vagus Nerve	Anatomy
Anatomy::UBERON:0001760	Frontal Sinus	Anatomy
